Title,Body,Link,Date,Type,Combined_Text,PText,PTitle
bill gross recession bet minted millions bond rally,,https://www.bloomberg.com/news/articles/2023-12-01/bill-gross-s-recession-bet-has-minted-millions-from-bond-rally,"Fri, 01 Dec 2023 12:15:00 GMT",finance,bill gross recession bet minted millions bond rally ,"['bill', 'gross', 'recession', 'bet', 'minted', 'millions', 'bond', 'rally']","['bill', 'gross', 'recession', 'bet', 'minted', 'millions', 'bond', 'rally']"
even opec output cuts powerless stop oils sixweek slide,oil extended declines closing sixth straight weekly drop opec output cuts announced thursday failed dispel markets gloom swelling global supplies,https://www.bloomberg.com/news/articles/2023-11-30/latest-oil-market-news-and-analysis-for-dec-1,"Thu, 30 Nov 2023 23:14:50 GMT",finance,even opec output cuts powerless stop oils sixweek slide oil extended declines closing sixth straight weekly drop opec output cuts announced thursday failed dispel markets gloom swelling global supplies,"['even', 'opec', 'output', 'cuts', 'powerless', 'stop', 'oils', 'sixweek', 'slide', 'oil', 'extended', 'declines', 'closing', 'sixth', 'straight', 'weekly', 'drop', 'opec', 'output', 'cuts', 'announced', 'thursday', 'failed', 'dispel', 'markets', 'gloom', 'swelling', 'global', 'supplies']","['even', 'opec', 'output', 'cuts', 'powerless', 'stop', 'oils', 'sixweek', 'slide']"
bonds powell pushback lasts seconds markets wrap,wall street turned blind eye jerome powells attempt curb bets rate cuts bonds climbing speculation federal reserve stay put month ease policy 2024,https://www.bloomberg.com/news/articles/2023-11-30/stock-market-today-dow-s-p-live-updates,"Thu, 30 Nov 2023 22:47:27 GMT",finance,bonds powell pushback lasts seconds markets wrap wall street turned blind eye jerome powells attempt curb bets rate cuts bonds climbing speculation federal reserve stay put month ease policy 2024,"['bonds', 'powell', 'pushback', 'lasts', 'seconds', 'markets', 'wrap', 'wall', 'street', 'turned', 'blind', 'eye', 'jerome', 'powells', 'attempt', 'curb', 'bets', 'rate', 'cuts', 'bonds', 'climbing', 'speculation', 'federal', 'reserve', 'stay', 'put', 'month', 'ease', 'policy', '2024']","['bonds', 'powell', 'pushback', 'lasts', 'seconds', 'markets', 'wrap']"
chatgpts impact ai industry,one year openai made chatgpt tool accessible generative ai taken world storm dan oconnell chief ai strategy officer ai unicorn dialpad joins ed ludlow caroline hyde reflect bloomberg technology source bloomberg,https://www.bloomberg.com/news/videos/2023-12-01/chatgpt-s-impact-on-the-ai-industry-video,"Fri, 01 Dec 2023 20:02:58 GMT",finance,chatgpts impact ai industry one year openai made chatgpt tool accessible generative ai taken world storm dan oconnell chief ai strategy officer ai unicorn dialpad joins ed ludlow caroline hyde reflect bloomberg technology source bloomberg,"['chatgpts', 'impact', 'ai', 'industry', 'one', 'year', 'openai', 'made', 'chatgpt', 'tool', 'accessible', 'generative', 'ai', 'taken', 'world', 'storm', 'dan', 'oconnell', 'chief', 'ai', 'strategy', 'officer', 'ai', 'unicorn', 'dialpad', 'joins', 'ed', 'ludlow', 'caroline', 'hyde', 'reflect', 'bloomberg', 'technology', 'source', 'bloomberg']","['chatgpts', 'impact', 'ai', 'industry']"
venture capital climate tech cop28,world leaders kick cop28 climate summit dubai pledges boost investment green solutions calls decisive action cut greenhouse gases translate move vc going space obvious ventures climate investor andrew beebe joins ed ludlow caroline hyde bloomberg technology source bloomberg,https://www.bloomberg.com/news/videos/2023-12-01/venture-capital-climate-tech-and-cop28-video,"Fri, 01 Dec 2023 19:59:11 GMT",finance,venture capital climate tech cop28 world leaders kick cop28 climate summit dubai pledges boost investment green solutions calls decisive action cut greenhouse gases translate move vc going space obvious ventures climate investor andrew beebe joins ed ludlow caroline hyde bloomberg technology source bloomberg,"['venture', 'capital', 'climate', 'tech', 'cop28', 'world', 'leaders', 'kick', 'cop28', 'climate', 'summit', 'dubai', 'pledges', 'boost', 'investment', 'green', 'solutions', 'calls', 'decisive', 'action', 'cut', 'greenhouse', 'gases', 'translate', 'move', 'vc', 'going', 'space', 'obvious', 'ventures', 'climate', 'investor', 'andrew', 'beebe', 'joins', 'ed', 'ludlow', 'caroline', 'hyde', 'bloomberg', 'technology', 'source', 'bloomberg']","['venture', 'capital', 'climate', 'tech', 'cop28']"
mexicos fibra next ipo said delayed next year,mexican industrial real estate trust fibra next unlikely carry highly anticipated initial public offering early next year according people familiar process,https://www.bloomberg.com/news/articles/2023-12-01/mexico-s-fibra-next-ipo-said-to-be-delayed-until-next-year-funo,"Fri, 01 Dec 2023 19:58:43 GMT",finance,mexicos fibra next ipo said delayed next year mexican industrial real estate trust fibra next unlikely carry highly anticipated initial public offering early next year according people familiar process,"['mexicos', 'fibra', 'next', 'ipo', 'said', 'delayed', 'next', 'year', 'mexican', 'industrial', 'real', 'estate', 'trust', 'fibra', 'next', 'unlikely', 'carry', 'highly', 'anticipated', 'initial', 'public', 'offering', 'early', 'next', 'year', 'according', 'people', 'familiar', 'process']","['mexicos', 'fibra', 'next', 'ipo', 'said', 'delayed', 'next', 'year']"
teslas cybertruck hits road,years development delays manufacturing snags tesla finally handed first blade runneresque cybertrucks customers sandy munro ceo munro associates firm famous car teardowns attended launch event drove one joins ed ludlow caroline hyde give take bloomberg technology source bloomberg,https://www.bloomberg.com/news/videos/2023-12-01/tesla-s-cybertruck-hits-the-road-video,"Fri, 01 Dec 2023 19:55:07 GMT",finance,teslas cybertruck hits road years development delays manufacturing snags tesla finally handed first blade runneresque cybertrucks customers sandy munro ceo munro associates firm famous car teardowns attended launch event drove one joins ed ludlow caroline hyde give take bloomberg technology source bloomberg,"['teslas', 'cybertruck', 'hits', 'road', 'years', 'development', 'delays', 'manufacturing', 'snags', 'tesla', 'finally', 'handed', 'first', 'blade', 'runneresque', 'cybertrucks', 'customers', 'sandy', 'munro', 'ceo', 'munro', 'associates', 'firm', 'famous', 'car', 'teardowns', 'attended', 'launch', 'event', 'drove', 'one', 'joins', 'ed', 'ludlow', 'caroline', 'hyde', 'give', 'take', 'bloomberg', 'technology', 'source', 'bloomberg']","['teslas', 'cybertruck', 'hits', 'road']"
cybertruck important moment tesla ives,dan ives wedbush securities says launching cybertruck important moment tesla also talks unpredictability ceo elon musk ives bloomberg surveillance source bloomberg,https://www.bloomberg.com/news/videos/2023-12-01/cybertruck-is-an-important-moment-for-tesla-ives-video,"Fri, 01 Dec 2023 19:44:06 GMT",finance,cybertruck important moment tesla ives dan ives wedbush securities says launching cybertruck important moment tesla also talks unpredictability ceo elon musk ives bloomberg surveillance source bloomberg,"['cybertruck', 'important', 'moment', 'tesla', 'ives', 'dan', 'ives', 'wedbush', 'securities', 'says', 'launching', 'cybertruck', 'important', 'moment', 'tesla', 'also', 'talks', 'unpredictability', 'ceo', 'elon', 'musk', 'ives', 'bloomberg', 'surveillance', 'source', 'bloomberg']","['cybertruck', 'important', 'moment', 'tesla', 'ives']"
powell pushes back ratecut bets markets push back harder,federal reserve chair jerome powell attempted push back investors growing expectations interestrate cuts first half 2024,https://www.bloomberg.com/news/articles/2023-12-01/powell-pushes-back-on-rate-cut-bets-but-markets-push-back-harder,"Fri, 01 Dec 2023 18:57:44 GMT",finance,powell pushes back ratecut bets markets push back harder federal reserve chair jerome powell attempted push back investors growing expectations interestrate cuts first half 2024,"['powell', 'pushes', 'back', 'ratecut', 'bets', 'markets', 'push', 'back', 'harder', 'federal', 'reserve', 'chair', 'jerome', 'powell', 'attempted', 'push', 'back', 'investors', 'growing', 'expectations', 'interestrate', 'cuts', 'first', 'half', '2024']","['powell', 'pushes', 'back', 'ratecut', 'bets', 'markets', 'push', 'back', 'harder']"
ultimate lesson covid inflation,hello welcome weekly odd lots newsletter joe weisenthal tracy alloway bring thoughts interesting developments markets finance economy,https://www.bloomberg.com/news/newsletters/2023-12-01/the-ultimate-lesson-from-the-covid-inflation,"Fri, 01 Dec 2023 18:56:33 GMT",finance,ultimate lesson covid inflation hello welcome weekly odd lots newsletter joe weisenthal tracy alloway bring thoughts interesting developments markets finance economy,"['ultimate', 'lesson', 'covid', 'inflation', 'hello', 'welcome', 'weekly', 'odd', 'lots', 'newsletter', 'joe', 'weisenthal', 'tracy', 'alloway', 'bring', 'thoughts', 'interesting', 'developments', 'markets', 'finance', 'economy']","['ultimate', 'lesson', 'covid', 'inflation']"
