Title,Body,Link,Date,Type,Combined_Text,PText,PTitle
insomnia already awful 8 things might exacerbate sleepless nights,,https://www.cnet.com/health/sleep/insomnia-is-already-awful-these-8-things-might-exacerbate-sleepless-nights/#ftag=CAD590a51e,"Fri, 01 Dec 2023 19:00:05 +0000",news,insomnia already awful 8 things might exacerbate sleepless nights ,"['insomnia', 'already', 'awful', '8', 'things', 'might', 'exacerbate', 'sleepless', 'nights']","['insomnia', 'already', 'awful', '8', 'things', 'might', 'exacerbate', 'sleepless', 'nights']"
scammers opened bank account name heres check,,https://www.cnet.com/personal-finance/banking/have-scammers-opened-a-bank-account-in-your-name-heres-how-to-check/#ftag=CAD590a51e,"Fri, 01 Dec 2023 19:00:00 +0000",news,scammers opened bank account name heres check ,"['scammers', 'opened', 'bank', 'account', 'name', 'heres', 'check']","['scammers', 'opened', 'bank', 'account', 'name', 'heres', 'check']"
michigan enacts laws achieve 100 clean energy 2040,,https://www.cnet.com/home/energy-and-utilities/michigan-enacts-laws-to-achieve-100-clean-energy-by-2040/#ftag=CAD590a51e,"Fri, 01 Dec 2023 18:55:04 +0000",news,michigan enacts laws achieve 100 clean energy 2040 ,"['michigan', 'enacts', 'laws', 'achieve', '100', 'clean', 'energy', '2040']","['michigan', 'enacts', 'laws', 'achieve', '100', 'clean', 'energy', '2040']"
guide going solar new england,,https://www.cnet.com/home/energy-and-utilities/new-england-solar-panels/#ftag=CAD590a51e,"Fri, 01 Dec 2023 18:38:10 +0000",news,guide going solar new england ,"['guide', 'going', 'solar', 'new', 'england']","['guide', 'going', 'solar', 'new', 'england']"
dont pay extra run google storage space try one tricks,,https://www.cnet.com/tech/services-and-software/dont-pay-extra-if-you-run-out-of-google-storage-space-try-one-of-these-tricks/#ftag=CAD590a51e,"Fri, 01 Dec 2023 18:31:00 +0000",news,dont pay extra run google storage space try one tricks ,"['dont', 'pay', 'extra', 'run', 'google', 'storage', 'space', 'try', 'one', 'tricks']","['dont', 'pay', 'extra', 'run', 'google', 'storage', 'space', 'try', 'one', 'tricks']"
score discounted flights hotels oneair elite plan 80,,https://www.cnet.com/deals/score-discounted-flights-hotels-and-more-with-the-oneair-elite-plan-for-just-80/#ftag=CAD590a51e,"Fri, 01 Dec 2023 18:23:58 +0000",news,score discounted flights hotels oneair elite plan 80 ,"['score', 'discounted', 'flights', 'hotels', 'oneair', 'elite', 'plan', '80']","['score', 'discounted', 'flights', 'hotels', 'oneair', 'elite', 'plan', '80']"
adidas holiday sale takes 65 shoes apparel accessories,,https://www.cnet.com/deals/the-adidas-holiday-sale-takes-up-to-65-off-shoes-apparel-and-accessories/#ftag=CAD590a51e,"Fri, 01 Dec 2023 18:20:00 +0000",news,adidas holiday sale takes 65 shoes apparel accessories ,"['adidas', 'holiday', 'sale', 'takes', '65', 'shoes', 'apparel', 'accessories']","['adidas', 'holiday', 'sale', 'takes', '65', 'shoes', 'apparel', 'accessories']"
dont miss deal 1 month xbox game pass ultimate 8,,https://www.cnet.com/deals/dont-miss-1-month-xbox-game-pass-ultimate-8/#ftag=CAD590a51e,"Fri, 01 Dec 2023 18:00:00 +0000",news,dont miss deal 1 month xbox game pass ultimate 8 ,"['dont', 'miss', 'deal', '1', 'month', 'xbox', 'game', 'pass', 'ultimate', '8']","['dont', 'miss', 'deal', '1', 'month', 'xbox', 'game', 'pass', 'ultimate', '8']"
best internet providers new hampshire,,https://www.cnet.com/home/internet/best-internet-providers-in-new-hampshire/#ftag=CAD590a51e,"Fri, 01 Dec 2023 17:44:00 +0000",news,best internet providers new hampshire ,"['best', 'internet', 'providers', 'new', 'hampshire']","['best', 'internet', 'providers', 'new', 'hampshire']"
best internet providers sioux falls south dakota,,https://www.cnet.com/home/internet/best-internet-providers-in-sioux-falls-sd/#ftag=CAD590a51e,"Fri, 01 Dec 2023 17:35:00 +0000",news,best internet providers sioux falls south dakota ,"['best', 'internet', 'providers', 'sioux', 'falls', 'south', 'dakota']","['best', 'internet', 'providers', 'sioux', 'falls', 'south', 'dakota']"
