Title,Body,Link,Date,Type,Combined_Text,Processed_Text,Processed_Title
high school students gain skills working digital learning materials,thomas esayas high school senior texas shift virtual learning earlier days covid19 pandemic provided opportunity dive interests computer started learning fundamentals python developing projects trying make bot could scour amazon computer parts stock goal ultimately building computer know syntax language computer really problemsolving esayas says enjoy challenging problems especially things require much consideration something takes lot less time like feeling challenging thing overcoming esayas aspirations gain ios development experience led hr,https://news.mit.edu/2023/high-school-students-gain-skills-working-digital-learning-materials-1130,"Thu, 30 Nov 2023 11:00:00 -0500",science,high school students gain skills working digital learning materials thomas esayas high school senior texas shift virtual learning earlier days covid19 pandemic provided opportunity dive interests computer started learning fundamentals python developing projects trying make bot could scour amazon computer parts stock goal ultimately building computer know syntax language computer really problemsolving esayas says enjoy challenging problems especially things require much consideration something takes lot less time like feeling challenging thing overcoming esayas aspirations gain ios development experience led hr,"['high', 'school', 'students', 'gain', 'skills', 'working', 'digital', 'learning', 'materials', 'thomas', 'esayas', 'high', 'school', 'senior', 'texas', 'shift', 'virtual', 'learning', 'earlier', 'days', 'covid19', 'pandemic', 'provided', 'opportunity', 'dive', 'interests', 'computer', 'started', 'learning', 'fundamentals', 'python', 'developing', 'projects', 'trying', 'make', 'bot', 'could', 'scour', 'amazon', 'computer', 'parts', 'stock', 'goal', 'ultimately', 'building', 'computer', 'know', 'syntax', 'language', 'computer', 'really', 'problemsolving', 'esayas', 'says', 'enjoy', 'challenging', 'problems', 'especially', 'things', 'require', 'much', 'consideration', 'something', 'takes', 'lot', 'less', 'time', 'like', 'feeling', 'challenging', 'thing', 'overcoming', 'esayas', 'aspirations', 'gain', 'ios', 'development', 'experience', 'led', 'hr']","['high', 'school', 'students', 'gain', 'skills', 'working', 'digital', 'learning', 'materials']"
new optimization framework robot motion planning,isnt easy robot find way maze picture machines trying traverse kids playroom reach kitchen miscellaneous toys scattered across floor furniture blocking potential paths messy labyrinth requires robot calculate optimal journey destination without crashing obstacles bot mit computer artificial intelligence laboratory csail researchers graphs convex sets gcs trajectory optimization algorithm presents scalable collisionfree motion planning system robotic navigational needs approach marries graph search method finding discrete paths n,https://news.mit.edu/2023/new-optimization-framework-robot-motion-planning-1130,"Thu, 30 Nov 2023 09:00:00 -0500",science,new optimization framework robot motion planning isnt easy robot find way maze picture machines trying traverse kids playroom reach kitchen miscellaneous toys scattered across floor furniture blocking potential paths messy labyrinth requires robot calculate optimal journey destination without crashing obstacles bot mit computer artificial intelligence laboratory csail researchers graphs convex sets gcs trajectory optimization algorithm presents scalable collisionfree motion planning system robotic navigational needs approach marries graph search method finding discrete paths n,"['new', 'optimization', 'framework', 'robot', 'motion', 'planning', 'isnt', 'easy', 'robot', 'find', 'way', 'maze', 'picture', 'machines', 'trying', 'traverse', 'kids', 'playroom', 'reach', 'kitchen', 'miscellaneous', 'toys', 'scattered', 'across', 'floor', 'furniture', 'blocking', 'potential', 'paths', 'messy', 'labyrinth', 'requires', 'robot', 'calculate', 'optimal', 'journey', 'destination', 'without', 'crashing', 'obstacles', 'bot', 'mit', 'computer', 'artificial', 'intelligence', 'laboratory', 'csail', 'researchers', 'graphs', 'convex', 'sets', 'gcs', 'trajectory', 'optimization', 'algorithm', 'presents', 'scalable', 'collisionfree', 'motion', 'planning', 'system', 'robotic', 'navigational', 'needs', 'approach', 'marries', 'graph', 'search', 'method', 'finding', 'discrete', 'paths', 'n']","['new', 'optimization', 'framework', 'robot', 'motion', 'planning']"
future hold generative ai,speaking generative ai shaping future symposium nov 28 kickoff event mits generative ai week keynote speaker irobot cofounder rodney brooks warned attendees uncritically overestimating capabilities emerging technology underpins increasingly powerful tools like openais chatgpt googles bard hype leads hubris hubris leads conceit conceit leads failure cautioned brooks also professor emeritus mit former director computer artificial intelligence laboratory csail founder robustai one technology ever surpassed everything else added symposium drew,https://news.mit.edu/2023/what-does-future-hold-generative-ai-1129,"Wed, 29 Nov 2023 16:00:00 -0500",science,future hold generative ai speaking generative ai shaping future symposium nov 28 kickoff event mits generative ai week keynote speaker irobot cofounder rodney brooks warned attendees uncritically overestimating capabilities emerging technology underpins increasingly powerful tools like openais chatgpt googles bard hype leads hubris hubris leads conceit conceit leads failure cautioned brooks also professor emeritus mit former director computer artificial intelligence laboratory csail founder robustai one technology ever surpassed everything else added symposium drew,"['future', 'hold', 'generative', 'ai', 'speaking', 'generative', 'ai', 'shaping', 'future', 'symposium', 'nov', '28', 'kickoff', 'event', 'mits', 'generative', 'ai', 'week', 'keynote', 'speaker', 'irobot', 'cofounder', 'rodney', 'brooks', 'warned', 'attendees', 'uncritically', 'overestimating', 'capabilities', 'emerging', 'technology', 'underpins', 'increasingly', 'powerful', 'tools', 'like', 'openais', 'chatgpt', 'googles', 'bard', 'hype', 'leads', 'hubris', 'hubris', 'leads', 'conceit', 'conceit', 'leads', 'failure', 'cautioned', 'brooks', 'also', 'professor', 'emeritus', 'mit', 'former', 'director', 'computer', 'artificial', 'intelligence', 'laboratory', 'csail', 'founder', 'robustai', 'one', 'technology', 'ever', 'surpassed', 'everything', 'else', 'added', 'symposium', 'drew']","['future', 'hold', 'generative', 'ai']"
new method uses crowdsourced feedback help train robots,teach ai agent new task like open kitchen cabinet researchers often use reinforcement learning trialanderror process agent rewarded taking actions get closer goal many instances human expert must carefully design reward function incentive mechanism gives agent motivation explore human expert must iteratively update reward function agent explores tries different actions timeconsuming inefficient difficult scale especially task complex involves many steps researchers mit harvard university university washington developed new reinforcement learning approach doesnt rely expertly design,https://news.mit.edu/2023/method-uses-crowdsourced-feedback-help-train-robots-1127,"Mon, 27 Nov 2023 00:00:00 -0500",science,new method uses crowdsourced feedback help train robots teach ai agent new task like open kitchen cabinet researchers often use reinforcement learning trialanderror process agent rewarded taking actions get closer goal many instances human expert must carefully design reward function incentive mechanism gives agent motivation explore human expert must iteratively update reward function agent explores tries different actions timeconsuming inefficient difficult scale especially task complex involves many steps researchers mit harvard university university washington developed new reinforcement learning approach doesnt rely expertly design,"['new', 'method', 'uses', 'crowdsourced', 'feedback', 'help', 'train', 'robots', 'teach', 'ai', 'agent', 'new', 'task', 'like', 'open', 'kitchen', 'cabinet', 'researchers', 'often', 'use', 'reinforcement', 'learning', 'trialanderror', 'process', 'agent', 'rewarded', 'taking', 'actions', 'get', 'closer', 'goal', 'many', 'instances', 'human', 'expert', 'must', 'carefully', 'design', 'reward', 'function', 'incentive', 'mechanism', 'gives', 'agent', 'motivation', 'explore', 'human', 'expert', 'must', 'iteratively', 'update', 'reward', 'function', 'agent', 'explores', 'tries', 'different', 'actions', 'timeconsuming', 'inefficient', 'difficult', 'scale', 'especially', 'task', 'complex', 'involves', 'many', 'steps', 'researchers', 'mit', 'harvard', 'university', 'university', 'washington', 'developed', 'new', 'reinforcement', 'learning', 'approach', 'doesnt', 'rely', 'expertly', 'design']","['new', 'method', 'uses', 'crowdsourced', 'feedback', 'help', 'train', 'robots']"
search algorithm reveals nearly 200 new kinds crispr systems,microbial sequence databases contain wealth information enzymes molecules could adapted biotechnology databases grown large recent years theyve become difficult search efficiently enzymes interest scientists mcgovern institute brain research mit broad institute mit harvard national center biotechnology information ncbi national institutes health developed new search algorithm identified 188 kinds new rare crispr systems bacterial genomes encompassing thousands individual systems work appears today algorithm com,https://news.mit.edu/2023/search-algorithm-reveals-nearly-200-new-kinds-crispr-systems-1123,"Thu, 23 Nov 2023 14:00:00 -0500",science,search algorithm reveals nearly 200 new kinds crispr systems microbial sequence databases contain wealth information enzymes molecules could adapted biotechnology databases grown large recent years theyve become difficult search efficiently enzymes interest scientists mcgovern institute brain research mit broad institute mit harvard national center biotechnology information ncbi national institutes health developed new search algorithm identified 188 kinds new rare crispr systems bacterial genomes encompassing thousands individual systems work appears today algorithm com,"['search', 'algorithm', 'reveals', 'nearly', '200', 'new', 'kinds', 'crispr', 'systems', 'microbial', 'sequence', 'databases', 'contain', 'wealth', 'information', 'enzymes', 'molecules', 'could', 'adapted', 'biotechnology', 'databases', 'grown', 'large', 'recent', 'years', 'theyve', 'become', 'difficult', 'search', 'efficiently', 'enzymes', 'interest', 'scientists', 'mcgovern', 'institute', 'brain', 'research', 'mit', 'broad', 'institute', 'mit', 'harvard', 'national', 'center', 'biotechnology', 'information', 'ncbi', 'national', 'institutes', 'health', 'developed', 'new', 'search', 'algorithm', 'identified', '188', 'kinds', 'new', 'rare', 'crispr', 'systems', 'bacterial', 'genomes', 'encompassing', 'thousands', 'individual', 'systems', 'work', 'appears', 'today', 'algorithm', 'com']","['search', 'algorithm', 'reveals', 'nearly', '200', 'new', 'kinds', 'crispr', 'systems']"
students pitch transformative ideas generative ai mit ignite competition,semester students postdocs across mit invited submit ideas firstever mit ignite generative ai entrepreneurship competition 100 teams submitted proposals startups utilize generative artificial intelligence technologies develop solutions across diverse range disciplines including human health climate change education workforce dynamics oct 30 12 finalists pitched ideas front panel expert judges packed room samberg conference center mit responsibility help shape future ai innovation broadly beneficialnbsp need lot great ideas turned pretty reliable source great,https://news.mit.edu/2023/students-pitch-transformative-ideas-generative-ai-mit-ignite-competition-1121,"Tue, 21 Nov 2023 11:50:00 -0500",science,students pitch transformative ideas generative ai mit ignite competition semester students postdocs across mit invited submit ideas firstever mit ignite generative ai entrepreneurship competition 100 teams submitted proposals startups utilize generative artificial intelligence technologies develop solutions across diverse range disciplines including human health climate change education workforce dynamics oct 30 12 finalists pitched ideas front panel expert judges packed room samberg conference center mit responsibility help shape future ai innovation broadly beneficialnbsp need lot great ideas turned pretty reliable source great,"['students', 'pitch', 'transformative', 'ideas', 'generative', 'ai', 'mit', 'ignite', 'competition', 'semester', 'students', 'postdocs', 'across', 'mit', 'invited', 'submit', 'ideas', 'firstever', 'mit', 'ignite', 'generative', 'ai', 'entrepreneurship', 'competition', '100', 'teams', 'submitted', 'proposals', 'startups', 'utilize', 'generative', 'artificial', 'intelligence', 'technologies', 'develop', 'solutions', 'across', 'diverse', 'range', 'disciplines', 'including', 'human', 'health', 'climate', 'change', 'education', 'workforce', 'dynamics', 'oct', '30', '12', 'finalists', 'pitched', 'ideas', 'front', 'panel', 'expert', 'judges', 'packed', 'room', 'samberg', 'conference', 'center', 'mit', 'responsibility', 'help', 'shape', 'future', 'ai', 'innovation', 'broadly', 'beneficialnbsp', 'need', 'lot', 'great', 'ideas', 'turned', 'pretty', 'reliable', 'source', 'great']","['students', 'pitch', 'transformative', 'ideas', 'generative', 'ai', 'mit', 'ignite', 'competition']"
synthetic imagery sets new bar ai training efficiency,data new soil fertile new ground mit researchers planting pixels using synthetic images train machine learning models team scientists recently surpassed results obtained traditional realimage training methodsnbsp core approach system called stablerep doesnt use synthetic images generates ultrapopular texttoimage models like stable diffusion like creating worlds wordsnbsp whats stablereps secret sauce strategy called multipositive contrastive learning teaching model learn highlevel concepts context variance f,https://news.mit.edu/2023/synthetic-imagery-sets-new-bar-ai-training-efficiency-1120,"Mon, 20 Nov 2023 09:00:00 -0500",science,synthetic imagery sets new bar ai training efficiency data new soil fertile new ground mit researchers planting pixels using synthetic images train machine learning models team scientists recently surpassed results obtained traditional realimage training methodsnbsp core approach system called stablerep doesnt use synthetic images generates ultrapopular texttoimage models like stable diffusion like creating worlds wordsnbsp whats stablereps secret sauce strategy called multipositive contrastive learning teaching model learn highlevel concepts context variance f,"['synthetic', 'imagery', 'sets', 'new', 'bar', 'ai', 'training', 'efficiency', 'data', 'new', 'soil', 'fertile', 'new', 'ground', 'mit', 'researchers', 'planting', 'pixels', 'using', 'synthetic', 'images', 'train', 'machine', 'learning', 'models', 'team', 'scientists', 'recently', 'surpassed', 'results', 'obtained', 'traditional', 'realimage', 'training', 'methodsnbsp', 'core', 'approach', 'system', 'called', 'stablerep', 'doesnt', 'use', 'synthetic', 'images', 'generates', 'ultrapopular', 'texttoimage', 'models', 'like', 'stable', 'diffusion', 'like', 'creating', 'worlds', 'wordsnbsp', 'whats', 'stablereps', 'secret', 'sauce', 'strategy', 'called', 'multipositive', 'contrastive', 'learning', 'teaching', 'model', 'learn', 'highlevel', 'concepts', 'context', 'variance', 'f']","['synthetic', 'imagery', 'sets', 'new', 'bar', 'ai', 'training', 'efficiency']"
technique enables ai edge devices keep learning time,personalized deeplearning models enable artificial intelligence chatbots adapt understand users accent smart keyboards continuously update better predict next word based someones typing history customization requires constant finetuning machinelearning model new data smartphones edge devices lack memory computational power necessary finetuning process user data typically uploaded cloud servers model updated data transmission uses great deal energy sending sensitive user data cloud server poses security risknbspnbsp researchers mit mitibm watson ai lab elsewhere developed technique enables deeplearning models,https://news.mit.edu/2023/technique-enables-ai-edge-devices-keep-learning-over-time,"Thu, 16 Nov 2023 00:00:00 -0500",science,technique enables ai edge devices keep learning time personalized deeplearning models enable artificial intelligence chatbots adapt understand users accent smart keyboards continuously update better predict next word based someones typing history customization requires constant finetuning machinelearning model new data smartphones edge devices lack memory computational power necessary finetuning process user data typically uploaded cloud servers model updated data transmission uses great deal energy sending sensitive user data cloud server poses security risknbspnbsp researchers mit mitibm watson ai lab elsewhere developed technique enables deeplearning models,"['technique', 'enables', 'ai', 'edge', 'devices', 'keep', 'learning', 'time', 'personalized', 'deeplearning', 'models', 'enable', 'artificial', 'intelligence', 'chatbots', 'adapt', 'understand', 'users', 'accent', 'smart', 'keyboards', 'continuously', 'update', 'better', 'predict', 'next', 'word', 'based', 'someones', 'typing', 'history', 'customization', 'requires', 'constant', 'finetuning', 'machinelearning', 'model', 'new', 'data', 'smartphones', 'edge', 'devices', 'lack', 'memory', 'computational', 'power', 'necessary', 'finetuning', 'process', 'user', 'data', 'typically', 'uploaded', 'cloud', 'servers', 'model', 'updated', 'data', 'transmission', 'uses', 'great', 'deal', 'energy', 'sending', 'sensitive', 'user', 'data', 'cloud', 'server', 'poses', 'security', 'risknbspnbsp', 'researchers', 'mit', 'mitibm', 'watson', 'ai', 'lab', 'elsewhere', 'developed', 'technique', 'enables', 'deeplearning', 'models']","['technique', 'enables', 'ai', 'edge', 'devices', 'keep', 'learning', 'time']"
writing code decoding world,several years ago mit anthropologist héctor beltrán 07 attended event mexico billed first allwomens hackathon latin america programmers women time came hackathon pitches large number family members arrived watch grandmothers mothers showed cheer hackathon participants beltrán says thats something never seen us inspiring felt good see people usually excluded spaces welcomed part infrastructure innovation sense grandmothers hacked hackathon hackathons started maledominated codewriting marathons often inaccessible women even join tech,https://news.mit.edu/2023/writing-code-and-decoding-world-1114,"Tue, 14 Nov 2023 00:00:00 -0500",science,writing code decoding world several years ago mit anthropologist héctor beltrán 07 attended event mexico billed first allwomens hackathon latin america programmers women time came hackathon pitches large number family members arrived watch grandmothers mothers showed cheer hackathon participants beltrán says thats something never seen us inspiring felt good see people usually excluded spaces welcomed part infrastructure innovation sense grandmothers hacked hackathon hackathons started maledominated codewriting marathons often inaccessible women even join tech,"['writing', 'code', 'decoding', 'world', 'several', 'years', 'ago', 'mit', 'anthropologist', 'héctor', 'beltrán', '07', 'attended', 'event', 'mexico', 'billed', 'first', 'allwomens', 'hackathon', 'latin', 'america', 'programmers', 'women', 'time', 'came', 'hackathon', 'pitches', 'large', 'number', 'family', 'members', 'arrived', 'watch', 'grandmothers', 'mothers', 'showed', 'cheer', 'hackathon', 'participants', 'beltrán', 'says', 'thats', 'something', 'never', 'seen', 'us', 'inspiring', 'felt', 'good', 'see', 'people', 'usually', 'excluded', 'spaces', 'welcomed', 'part', 'infrastructure', 'innovation', 'sense', 'grandmothers', 'hacked', 'hackathon', 'hackathons', 'started', 'maledominated', 'codewriting', 'marathons', 'often', 'inaccessible', 'women', 'even', 'join', 'tech']","['writing', 'code', 'decoding', 'world']"
explained generative ai,quick scan headlines makes seem like generative artificial intelligence everywhere days fact headlines may actually written generative ai like openais chatgpt chatbot demonstrated uncanny ability produce text seems written human people really mean say generative ai generative ai boom past years people talked ai typically talking machinelearning models learn make prediction based data instance models trained using millions examples predict whether certain xray shows signs tumor particular borrower likely default loan generativ,https://news.mit.edu/2023/explained-generative-ai-1109,"Thu, 09 Nov 2023 00:00:00 -0500",science,explained generative ai quick scan headlines makes seem like generative artificial intelligence everywhere days fact headlines may actually written generative ai like openais chatgpt chatbot demonstrated uncanny ability produce text seems written human people really mean say generative ai generative ai boom past years people talked ai typically talking machinelearning models learn make prediction based data instance models trained using millions examples predict whether certain xray shows signs tumor particular borrower likely default loan generativ,"['explained', 'generative', 'ai', 'quick', 'scan', 'headlines', 'makes', 'seem', 'like', 'generative', 'artificial', 'intelligence', 'everywhere', 'days', 'fact', 'headlines', 'may', 'actually', 'written', 'generative', 'ai', 'like', 'openais', 'chatgpt', 'chatbot', 'demonstrated', 'uncanny', 'ability', 'produce', 'text', 'seems', 'written', 'human', 'people', 'really', 'mean', 'say', 'generative', 'ai', 'generative', 'ai', 'boom', 'past', 'years', 'people', 'talked', 'ai', 'typically', 'talking', 'machinelearning', 'models', 'learn', 'make', 'prediction', 'based', 'data', 'instance', 'models', 'trained', 'using', 'millions', 'examples', 'predict', 'whether', 'certain', 'xray', 'shows', 'signs', 'tumor', 'particular', 'borrower', 'likely', 'default', 'loan', 'generativ']","['explained', 'generative', 'ai']"
